l1,l2,l3
9461,Bahia_Interior,AF
9585,Bahia_Coastal,AF
9586,Bahia_Coastal,AF
9587,Bahia_Coastal,AF
9705,Pernambuco_Interior,AF
9708,Pernambuco_Interior,AF
9826,Pernambuco_Interior,AF
9827,Pernambuco_Interior,AF
9829,Pernambuco_Interior,AF
9830,Pernambuco_Interior,AF
9831,Pernambuco_Interior,AF
9953,Pernambuco_Interior,AF
9954,Pernambuco_Interior,AF
10192,Pernambuco_Interior,AF
10194,Pernambuco_Interior,AF
10318,Pernambuco_Interior,AF
10319,Pernambuco_Coastal,AF
10439,Pernambuco_Interior,AF
10441,Pernambuco_Interior,AF
10442,Pernambuco_Interior,AF
10444,Pernambuco_Coastal,AF
10561,Pernambuco_Interior,AF
10562,Pernambuco_Coastal,AF
10564,Pernambuco_Interior,AF
10565,Pernambuco_Coastal,AF
10566,Pernambuco_Coastal,AF
10567,Pernambuco_Coastal,AF
10680,Pernambuco_Coastal,AF
10681,Pernambuco_Coastal,AF
10682,Pernambuco_Coastal,AF
10686,Pernambuco_Interior,AF
10687,Pernambuco_Interior,AF
10688,Pernambuco_Coastal,AF
10690,Pernambuco_Coastal,AF
10799,Restingas,AF
10801,Pernambuco_Interior,AF
10805,Pernambuco_Interior,AF
10807,Pernambuco_Interior,AF
10808,Pernambuco_Interior,AF
10811,Pernambuco_Coastal,AF
10812,Pernambuco_Coastal,AF
10813,Pernambuco_Coastal,AF
10925,Restingas,AF
10928,Pernambuco_Interior,AF
10931,Pernambuco_Coastal,AF
10932,Pernambuco_Coastal,AF
10934,Pernambuco_Coastal,AF
10936,Pernambuco_Coastal,AF
11054,Pernambuco_Interior,AF
11055,Mangroves,AF
11056,Mangroves,AF
11057,Mangroves,AF
11058,Mangroves,AF
