id,local,value
3441,Araucaria,unique
3442,Araucaria,unique
3443,Araucaria,unique
3444,Araucaria,unique
3445,Araucaria,unique
3446,Araucaria,unique
3447,Araucaria,unique
3448,Araucaria,unique
3449,Araucaria,unique
3450,Araucaria,unique
3451,Araucaria,unique
3452,Araucaria,unique
3453,Araucaria,unique
3454,Araucaria,unique
3455,Alto_Parana,dup
3455,Araucaria,dup
3456,Alto_Parana,dup
3456,Araucaria,dup
3457,Alto_Parana,unique
3458,Restingas,unique
3459,Restingas,unique
3460,Restingas,unique
3523,Alto_Parana,unique
3524,Alto_Parana,unique
3525,Alto_Parana,unique
3526,Alto_Parana,unique
3527,Alto_Parana,unique
3528,Alto_Parana,unique
3529,Alto_Parana,unique
3534,Alto_Parana,unique
3535,Alto_Parana,unique
3536,Alto_Parana,unique
3537,Alto_Parana,unique
3540,Alto_Parana,unique
3541,Alto_Parana,unique
3542,Alto_Parana,unique
3543,Alto_Parana,unique
3544,Alto_Parana,unique
3545,Alto_Parana,unique
3546,Alto_Parana,unique
3547,Alto_Parana,unique
3548,Alto_Parana,unique
3549,Alto_Parana,unique
3550,Alto_Parana,unique
3551,Alto_Parana,unique
3552,Alto_Parana,unique
3553,Alto_Parana,unique
3554,Alto_Parana,unique
3555,Alto_Parana,unique
3556,Alto_Parana,unique
