l1,l2,l3
4021,Alto_Parana,AF
4022,Alto_Parana,AF
4031,Alto_Parana,AF
4032,Alto_Parana,AF
4036,Alto_Parana,AF
4038,Alto_Parana,AF
4039,Alto_Parana,AF
4040,Alto_Parana,AF
4041,Alto_Parana,AF
4042,Alto_Parana,AF
4043,Alto_Parana,AF
4044,Alto_Parana,AF
4046,Alto_Parana,AF
4052,Alto_Parana,AF
4054,Araucaria,AF
4055,Araucaria,AF
4056,Serra_do_Mar,AF
4057,Araucaria,AF
4058,Araucaria,AF
4059,Araucaria,AF
4060,Araucaria,AF
4061,Araucaria,AF
4062,Serra_do_Mar,AF
4063,Serra_do_Mar,AF
4064,Serra_do_Mar,AF
4065,Serra_do_Mar,AF
4066,Serra_do_Mar,AF
4067,Araucaria,AF
4068,Araucaria,AF
4069,Araucaria,AF
4070,Serra_do_Mar,AF
4071,Serra_do_Mar,AF
4072,Serra_do_Mar,AF
4141,Alto_Parana,AF
4153,Alto_Parana,AF
4162,Alto_Parana,AF
4164,Alto_Parana,AF
4165,Alto_Parana,AF
4166,Alto_Parana,AF
4170,Alto_Parana,AF
4171,Alto_Parana,AF
4177,Alto_Parana,AF
4178,Araucaria,AF
4179,Araucaria,AF
4180,Serra_do_Mar,AF
4181,Araucaria,AF
4182,Araucaria,AF
4183,Araucaria,AF
4184,Serra_do_Mar,AF
4185,Serra_do_Mar,AF
4186,Serra_do_Mar,AF
4187,Serra_do_Mar,AF
4188,Serra_do_Mar,AF
4189,Serra_do_Mar,AF
4190,Serra_do_Mar,AF
4191,Serra_do_Mar,AF
4192,Araucaria,AF
4193,Serra_do_Mar,AF
4194,Serra_do_Mar,AF
4195,Serra_do_Mar,AF
4196,Serra_do_Mar,AF
4277,Alto_Parana,AF
4278,Alto_Parana,AF
4279,Alto_Parana,AF
4287,Alto_Parana,AF
4289,Alto_Parana,AF
4290,Alto_Parana,AF
4294,Alto_Parana,AF
4296,Alto_Parana,AF
4298,Alto_Parana,AF
4299,Alto_Parana,AF
4301,Alto_Parana,AF
4302,Araucaria,AF
4303,Araucaria,AF
4304,Serra_do_Mar,AF
4305,Araucaria,AF
4306,Serra_do_Mar,AF
4307,Serra_do_Mar,AF
4308,Serra_do_Mar,AF
4309,Serra_do_Mar,AF
4310,Mangroves,AF
4311,Serra_do_Mar,AF
4312,Serra_do_Mar,AF
4313,Serra_do_Mar,AF
4314,Serra_do_Mar,AF
4315,Serra_do_Mar,AF
4316,Serra_do_Mar,AF
4317,Serra_do_Mar,AF
4318,Serra_do_Mar,AF
4403,Alto_Parana,AF
4413,Alto_Parana,AF
4414,Alto_Parana,AF
4418,Alto_Parana,AF
4419,Alto_Parana,AF
4421,Alto_Parana,AF
4422,Alto_Parana,AF
4423,Alto_Parana,AF
4425,Alto_Parana,AF
4426,Araucaria,AF
4427,Serra_do_Mar,AF
4428,Serra_do_Mar,AF
4429,Serra_do_Mar,AF
4430,Serra_do_Mar,AF
4431,Mangroves,AF
4432,Serra_do_Mar,AF
4434,Mangroves,AF
4439,Mangroves,AF
4440,Mangroves,AF
4528,Alto_Parana,AF
4529,Alto_Parana,AF
4546,Alto_Parana,AF
4547,Alto_Parana,AF
4550,Serra_do_Mar,AF
4551,Serra_do_Mar,AF
4552,Serra_do_Mar,AF
4553,Serra_do_Mar,AF
4554,Serra_do_Mar,AF
4652,Alto_Parana,AF
4653,Alto_Parana,AF
4668,Alto_Parana,AF
4669,Serra_do_Mar,AF
4673,Alto_Parana,AF
4674,Serra_do_Mar,AF
4675,Serra_do_Mar,AF
4676,Serra_do_Mar,AF
4677,Mangroves,AF
4678,Mangroves,AF
4790,Alto_Parana,AF
4791,Alto_Parana,AF
4792,Alto_Parana,AF
4793,Alto_Parana,AF
4794,Alto_Parana,AF
4795,Alto_Parana,AF
4797,Serra_do_Mar,AF
4798,Serra_do_Mar,AF
4799,Serra_do_Mar,AF
4800,Serra_do_Mar,AF
4911,Alto_Parana,AF
4912,Alto_Parana,AF
4913,Alto_Parana,AF
4915,Alto_Parana,AF
4916,Alto_Parana,AF
4917,Alto_Parana,AF
4921,Serra_do_Mar,AF
4922,Serra_do_Mar,AF
4923,Serra_do_Mar,AF
4924,Mangroves,AF
5033,Alto_Parana,AF
5034,Alto_Parana,AF
5035,Alto_Parana,AF
5036,Alto_Parana,AF
5037,Alto_Parana,AF
5038,Alto_Parana,AF
5039,Alto_Parana,AF
5040,Alto_Parana,AF
5041,Alto_Parana,AF
5042,Serra_do_Mar,AF
5043,Serra_do_Mar,AF
5044,Serra_do_Mar,AF
5045,Serra_do_Mar,AF
5046,Serra_do_Mar,AF
5047,Mangroves,AF
5155,Alto_Parana,AF
5157,Alto_Parana,AF
5159,Alto_Parana,AF
5160,Alto_Parana,AF
5161,Alto_Parana,AF
5163,Alto_Parana,AF
5164,Serra_do_Mar,AF
5165,Serra_do_Mar,AF
5166,Serra_do_Mar,AF
5167,Serra_do_Mar,AF
5168,Serra_do_Mar,AF
5169,Serra_do_Mar,AF
5170,Serra_do_Mar,AF
5171,Mangroves,AF
5280,Alto_Parana,AF
5281,Alto_Parana,AF
5282,Alto_Parana,AF
5283,Alto_Parana,AF
5284,Alto_Parana,AF
5285,Alto_Parana,AF
5286,Alto_Parana,AF
5287,Serra_do_Mar,AF
5288,Serra_do_Mar,AF
5289,Serra_do_Mar,AF
5290,Serra_do_Mar,AF
5291,Serra_do_Mar,AF
5292,Serra_do_Mar,AF
5293,Serra_do_Mar,AF
5294,Serra_do_Mar,AF
5404,Alto_Parana,AF
5405,Alto_Parana,AF
5406,Alto_Parana,AF
5407,Alto_Parana,AF
5409,Alto_Parana,AF
5410,Alto_Parana,AF
5411,Alto_Parana,AF
5412,Serra_do_Mar,AF
5413,Serra_do_Mar,AF
5414,Serra_do_Mar,AF
5415,Serra_do_Mar,AF
5416,Serra_do_Mar,AF
5417,Mangroves,AF
5522,Bahia_Interior,AF
5529,Alto_Parana,AF
5531,Alto_Parana,AF
5533,Alto_Parana,AF
5536,Alto_Parana,AF
5537,Serra_do_Mar,AF
5538,Serra_do_Mar,AF
5539,Serra_do_Mar,AF
5540,Serra_do_Mar,AF
5541,Mangroves,AF
5645,Bahia_Interior,AF
5650,Bahia_Interior,AF
5653,Alto_Parana,AF
5656,Alto_Parana,AF
5657,Alto_Parana,AF
5659,Alto_Parana,AF
5660,Serra_do_Mar,AF
5661,Serra_do_Mar,AF
5662,Serra_do_Mar,AF
5663,Serra_do_Mar,AF
5664,Serra_do_Mar,AF
5774,Bahia_Interior,AF
5775,Bahia_Interior,AF
5777,Alto_Parana,AF
5778,Alto_Parana,AF
5782,Alto_Parana,AF
5783,Alto_Parana,AF
5784,Alto_Parana,AF
5785,Alto_Parana,AF
5786,Serra_do_Mar,AF
5787,Serra_do_Mar,AF
5788,Serra_do_Mar,AF
5898,Bahia_Interior,AF
5899,Bahia_Interior,AF
5902,Alto_Parana,AF
5903,Alto_Parana,AF
5905,Alto_Parana,AF
5906,Alto_Parana,AF
5907,Alto_Parana,AF
5908,Alto_Parana,AF
5909,Serra_do_Mar,AF
5910,Serra_do_Mar,AF
5911,Serra_do_Mar,AF
5912,Serra_do_Mar,AF
5913,Serra_do_Mar,AF
6003,Atlantic_Dry,AF
6004,Atlantic_Dry,AF
6020,Bahia_Interior,AF
6021,Bahia_Interior,AF
6023,Bahia_Interior,AF
6024,Bahia_Interior,AF
6025,Bahia_Interior,AF
6026,Alto_Parana,AF
6029,Alto_Parana,AF
6030,Alto_Parana,AF
6031,Alto_Parana,AF
6032,Alto_Parana,AF
6033,Serra_do_Mar,AF
6034,Serra_do_Mar,AF
6035,Serra_do_Mar,AF
6146,Bahia_Interior,AF
6147,Bahia_Interior,AF
6148,Bahia_Interior,AF
6149,Bahia_Interior,AF
6150,Bahia_Interior,AF
6151,Alto_Parana,AF
6152,Alto_Parana,AF
6153,Alto_Parana,AF
6155,Alto_Parana,AF
6156,Serra_do_Mar,AF
6157,Serra_do_Mar,AF
6158,Serra_do_Mar,AF
6159,Serra_do_Mar,AF
6242,Atlantic_Dry,AF
6246,Atlantic_Dry,AF
6252,Atlantic_Dry,AF
6257,Atlantic_Dry,AF
6267,Bahia_Interior,AF
6269,Bahia_Interior,AF
6271,Bahia_Interior,AF
6273,Bahia_Interior,AF
6274,Bahia_Interior,AF
6275,Alto_Parana,AF
6276,Alto_Parana,AF
6277,Alto_Parana,AF
6278,Serra_do_Mar,AF
6279,Alto_Parana,AF
6280,Serra_do_Mar,AF
6281,Serra_do_Mar,AF
6282,Mangroves,AF
6283,Serra_do_Mar,AF
6372,Atlantic_Dry,AF
6373,Atlantic_Dry,AF
6374,Atlantic_Dry,AF
6375,Atlantic_Dry,AF
6393,Bahia_Interior,AF
6394,Bahia_Interior,AF
6395,Bahia_Interior,AF
6397,Bahia_Interior,AF
6398,Bahia_Interior,AF
6400,Alto_Parana,AF
6401,Alto_Parana,AF
6402,Alto_Parana,AF
6403,Alto_Parana,AF
6404,Serra_do_Mar,AF
6405,Mangroves,AF
6406,Serra_do_Mar,AF
6494,Atlantic_Dry,AF
6498,Atlantic_Dry,AF
6509,Bahia_Interior,AF
6510,Bahia_Interior,AF
6517,Bahia_Interior,AF
6518,Bahia_Interior,AF
6519,Bahia_Interior,AF
6520,Bahia_Interior,AF
6521,Bahia_Interior,AF
6524,Bahia_Interior,AF
6525,Bahia_Interior,AF
6526,Alto_Parana,AF
6527,Alto_Parana,AF
6528,Serra_do_Mar,AF
